# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std increment_std_rel_error checkpoint_selection_score
8.875022411346435547e+00 -4.560341872274875641e-02 2.410798519849777395e-03 8.877433359622954878e-01 4.830112271010875841e-02 4.589032419025897841e-02 3.546360991895199100e-02 2.882484123110771318e-02 1.871994617251098447e-01 1.077353596207255126e+00
8.813979244232177379e+00 -4.492787458002567291e-02 2.608439698815345591e-03 8.816587388515472190e-01 4.772652685642242432e-02 4.511808715760708133e-02 3.546335957944393019e-02 2.881929855793714454e-02 1.873500170347824623e-01 1.071617195585145010e+00
8.749404811859131215e+00 -4.407784342765808105e-02 2.835217118263244802e-03 8.752240002155303733e-01 4.712548702955245833e-02 4.429026991128921786e-02 3.546305373311042786e-02 2.891048714518546989e-02 1.847716397198563565e-01 1.062830857053649991e+00
8.681724834442139382e+00 -4.309616424143314362e-02 3.035191819071769628e-03 8.684759974479675515e-01 4.649943038821220676e-02 4.346423856914043149e-02 3.546361997723579407e-02 2.885604724287986825e-02 1.863197479109867383e-01 1.057830937178026121e+00
8.610031032562256215e+00 -4.215262271463871002e-02 3.269842267036437902e-03 8.613300859928131326e-01 4.584696106612682481e-02 4.257711879909038821e-02 3.546366505324840407e-02 2.891826983541250298e-02 1.845662372409472562e-01 1.049166165500796888e+00
8.534906291961670277e+00 -4.130020923912525177e-02 3.503665700554847631e-03 8.538409888744353804e-01 4.517070725560188432e-02 4.166704155504703799e-02 3.546349704265594482e-02 2.890155594795942168e-02 1.850336724158563317e-01 1.042378326990846649e+00
8.455905342102051137e+00 -4.046410694718360901e-02 3.731503710150718776e-03 8.459636867046356201e-01 4.446930214762687822e-02 4.073779843747615814e-02 3.546307943761348863e-02 2.898989692330360482e-02 1.825330066305986820e-01 1.032228197045385043e+00
8.372782707214355469e+00 -3.940129838883876801e-02 4.020394384860992085e-03 8.376803278923035112e-01 4.374694675207137923e-02 3.972655236721038541e-02 3.546373359858989716e-02 2.891447525471448760e-02 1.846748122411777104e-01 1.026375534518342292e+00
8.285699272155762074e+00 -3.835933282971382141e-02 4.277450963854789734e-03 8.289976954460144265e-01 4.300141036510467252e-02 3.872395940124988278e-02 3.546340949833393097e-02 2.900321055203676154e-02 1.821651961134335973e-01 1.015440342523302730e+00
8.194175529479981179e+00 -3.733875043690204620e-02 4.543949663639068430e-03 8.198719382286071555e-01 4.222940206527710238e-02 3.768545240163802962e-02 3.546355664730072021e-02 2.901661172509193559e-02 1.817907037961376537e-01 1.006206591688383778e+00
8.098545455932617543e+00 -3.636485524475574493e-02 4.795537889003753315e-03 8.103340923786163108e-01 4.143544919788837155e-02 3.663991130888462344e-02 3.546347543597221097e-02 2.909401748329400877e-02 1.796061405205020001e-01 9.947357707881220312e-01
7.998386383056640625e+00 -3.525454923510551453e-02 5.075370520353316914e-03 8.003461778163909468e-01 4.062034487724304477e-02 3.554497435688972612e-02 3.546314053237438479e-02 2.907661162316799164e-02 1.800892084894744893e-01 9.855107568262186923e-01
7.893596172332763672e+00 -3.397688828408718109e-02 5.341264978051185261e-03 7.898937404155731423e-01 3.977358303964138170e-02 3.443231806159019470e-02 3.546332903206348558e-02 2.907268758863210817e-02 1.802042170793722864e-01 9.754392224729966365e-01
7.784176778793335139e+00 -3.301005065441131592e-02 5.707113817334174936e-03 7.789883852005005105e-01 3.890445828437805176e-02 3.319734446704387942e-02 3.546373210847377638e-02 2.906620781868696213e-02 1.803962501757614134e-01 9.650917491935960824e-01
7.670189809799194514e+00 -3.175281733274459839e-02 5.990765616297721516e-03 7.676180481910706010e-01 3.800645172595977506e-02 3.201568610966205874e-02 3.546341918408870558e-02 2.912275940179824898e-02 1.787943725673386830e-01 9.524031863747070004e-01
7.551154279708862660e+00 -3.041696548461914062e-02 6.268652155995368958e-03 7.557422757148742898e-01 3.707842640578747073e-02 3.080977424979209831e-02 3.546345494687556943e-02 2.933188732713460853e-02 1.728982026357325230e-01 9.349091305066021818e-01
7.427460718154907049e+00 -2.914156392216682434e-02 6.619998998939990824e-03 7.434080719947815385e-01 3.612122051417827884e-02 2.950122151523828368e-02 3.546321205794811249e-02 2.933222614228725433e-02 1.728829837937334302e-01 9.229110547874549431e-01
7.298835563659667791e+00 -2.804700843989849091e-02 6.919692642986774792e-03 7.305755317211151123e-01 3.513521626591682712e-02 2.821552362293005059e-02 3.546306453645229478e-02 2.938736099749803682e-02 1.713248310093943017e-01 9.088200553734961940e-01
7.165314149856567560e+00 -2.638832665979862213e-02 7.233158499002456492e-03 7.172547340393066184e-01 3.411782272160053531e-02 2.688466422259807448e-02 3.546354435384273251e-02 2.947463039308786253e-02 1.688752229847847175e-01 8.933631155230937759e-01
7.026711559295653942e+00 -2.515967749059200287e-02 7.645727880299091166e-03 7.034357249736785667e-01 3.306861445307731490e-02 2.542288657277822633e-02 3.546326011419296403e-02 2.952905334532261034e-02 1.673339323456067562e-01 8.784153851995843976e-01
6.883717775344848633e+00 -2.363171894103288651e-02 7.935987599194050529e-03 6.891653835773468018e-01 3.198685124516487122e-02 2.405086364597082069e-02 3.546299487352370938e-02 2.959956452250480513e-02 1.653394015865010669e-01 8.624407727630418741e-01
6.735836505889892578e+00 -2.237068209797143936e-02 8.242311142385005257e-03 6.744078874588013139e-01 3.086882941424846580e-02 2.262651827186346054e-02 3.546343818306922635e-02 2.970381118357181410e-02 1.624102820939886671e-01 8.450604806951749204e-01
6.582700252532958984e+00 -2.059119008481502533e-02 8.593181893229485252e-03 6.591293513774871826e-01 2.972343340516090532e-02 2.113025151193142007e-02 3.546348884701729098e-02 2.983031179755925993e-02 1.588444124490863141e-01 8.265669457198030479e-01
6.425677585601806463e+00 -1.893138606101274490e-02 8.921506814658641815e-03 6.434599041938782182e-01 2.854093182832002570e-02 1.961942501366138389e-02 3.546335399150848250e-02 2.986206114292144775e-02 1.579459418804631254e-01 8.103273528890000410e-01
6.263467264175415217e+00 -1.736513897776603699e-02 9.267831780016421925e-03 6.272734999656677246e-01 2.732241861522197862e-02 1.805458683520555496e-02 3.546357601881026944e-02 2.999394964426755836e-02 1.542322289068459862e-01 7.907735606525301275e-01
6.097504997253418324e+00 -1.534065697342157364e-02 9.589696209877729763e-03 6.107094824314117654e-01 2.607312332838773727e-02 1.648342711851000925e-02 3.546341136097908020e-02 3.001209646463394096e-02 1.537165965423615555e-01 7.740157751836510558e-01
5.927108430862427113e+00 -1.408646395429968834e-02 1.001514168456196785e-02 5.937123596668243408e-01 2.478856369853019853e-02 1.477342201396822895e-02 3.546385578811168948e-02 3.022589758038520674e-02 1.476984972777458105e-01 7.514259986291320637e-01
5.752536725997924982e+00 -1.256737532094120979e-02 1.029192693531513249e-02 5.762828648090362327e-01 2.346732225269079070e-02 1.317539531737565994e-02 3.546355590224266330e-02 3.028521519154310157e-02 1.460186543286279004e-01 7.325934460729792708e-01
5.574825382232665660e+00 -1.045091776177287102e-02 1.063194032758474350e-02 5.585457384586334229e-01 2.210914902389049530e-02 1.147720869630575180e-02 3.546347580850124637e-02 3.043827433139085700e-02 1.417007600750757601e-01 7.108784388612938709e-01
