# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
6.594720594584942142e-02 -3.925374150276184082e-01 -3.421646356582641602e-02 3.173074172809720213e-03 3.719406485557555930e-01 4.061571121215820090e-01 3.405629433691501756e-02 4.128609746694564958e-02 5.204863427206873720e-03 5.021392460912465702e-03 2.122897769879109053e-01 5.387285077876162454e-03 2.550665998044231997e-01
6.850177068263292590e-02 -3.916043788194656372e-01 -3.696399033069610457e-02 3.153777844272553747e-03 3.573121815919876321e-01 3.942761719226837158e-01 3.405631706118583679e-02 4.151040017604827603e-02 5.204863380640745163e-03 4.995409725233912121e-03 2.188751972578685534e-01 6.150214511580239310e-03 2.651431799444174398e-01
6.353684943169354837e-02 -3.690077811479568481e-01 -3.290514051914215227e-02 3.063170914538204757e-03 3.417305439710617287e-01 3.746356844902038463e-01 3.405633345246315141e-02 4.151397012174129486e-02 5.204863473773002278e-03 5.073417304083704601e-03 2.189794353367122415e-01 3.859668859212766166e-03 2.588074156296054085e-01
4.560223259031772475e-02 -3.095214962959289551e-01 -1.606580018997192522e-02 2.953643305227160541e-03 3.267606377601623424e-01 3.428264379501342884e-01 3.405608758330345293e-02 4.168908409774303714e-02 5.204863287508488048e-03 5.027806432917713945e-03 2.241301645570601131e-01 5.198978131368798584e-03 2.483485861836279840e-01
2.175307497382163863e-02 -3.028792291879653931e-01 7.269757986068725759e-03 2.902283240109681996e-03 3.114939540624618308e-01 3.042241960763931163e-01 3.405609503388404985e-02 4.166970811784267287e-02 5.204863473773002278e-03 5.138269951567053448e-03 2.235609536607151282e-01 1.955406870274948271e-03 2.356884017571684864e-01
1.268765684217214654e-02 -3.184072524309158325e-01 1.552703678607940743e-02 2.821469400078058416e-03 2.961655527353286854e-01 2.806385159492492676e-01 3.405658416450023374e-02 4.169639386236667633e-02 5.204863427206873720e-03 4.858423816040157925e-03 2.243269513096287082e-01 1.017247089382685918e-02 2.528479283896130081e-01
1.469689998775720527e-02 -2.729985415935516357e-01 1.250045001506805420e-02 2.719735028222203255e-03 2.815349042415619119e-01 2.690344542264938577e-01 3.405622728168964525e-02 4.148524366319179812e-02 5.204863427206873720e-03 5.032347934320569212e-03 2.181397346169999807e-01 5.065607868255917433e-03 2.384255275285461495e-01
3.343386556953191480e-02 -2.488901838660240173e-01 -6.879080832004546946e-03 2.655478566884994420e-03 2.669830814003944508e-01 2.738621622323990090e-01 3.405651859939098219e-02 4.135252758860587935e-02 5.204863520339131702e-03 5.044015357270836830e-03 2.142323786768720595e-01 4.722977264812037480e-03 2.284899153405736683e-01
-2.212219871580600739e-03 -1.849720031023025513e-01 2.813886702060699324e-02 2.592664700932800683e-03 2.523598924279212841e-01 2.242210254073143116e-01 3.405658751726150374e-02 4.125404991209506711e-02 5.204863566905260260e-03 5.110440449789166797e-03 2.113383318564787949e-01 2.772536064145087603e-03 2.448423996421636994e-01
-2.008473947644233773e-02 -1.953408196568489075e-01 4.476006925106048445e-02 2.467532968148589221e-03 2.374279364943504278e-01 1.926678672432899364e-01 3.405643291771411757e-02 4.093200080096721927e-02 5.204863380640745163e-03 5.018469411879777908e-03 2.018874936099063766e-01 5.473091360033281207e-03 2.545881871891487735e-01
-7.946483790874480767e-04 -2.410170212388038635e-01 2.452097609639167924e-02 2.372632734477519989e-03 2.232877820730209406e-01 1.987668059766292683e-01 3.405641801655292372e-02 4.057060033082961897e-02 5.204863334074616606e-03 5.076284799724817103e-03 1.912762026505323842e-01 3.775456781260119483e-03 2.219452682626616991e-01
-1.999504137784242561e-02 -1.445248946547508240e-01 4.285332411527633528e-02 2.285828278400003737e-03 2.102874279022216852e-01 1.674341037869453430e-01 3.405624702572822293e-02 4.023825861513614932e-02 5.204863427206873720e-03 5.006270762532949274e-03 1.815235714186629046e-01 5.831313841424270832e-03 2.324940376537635300e-01
-9.189418144524097096e-03 -1.688129678368568420e-01 3.162853568792343278e-02 2.243911754339933309e-03 1.978701755404472240e-01 1.662416405975818690e-01 3.405632711946963986e-02 3.981978185474872867e-02 5.204863380640745163e-03 5.163741949945688421e-03 1.692330096223133296e-01 1.207453479924457422e-03 2.043129105445011529e-01
-1.415108386427164043e-02 -1.203182414174079895e-01 3.546772152185440063e-02 2.131663751788437280e-03 1.863832071423530690e-01 1.509154848754405975e-01 3.405543118715285977e-02 3.950073383748531342e-02 5.204863473773002278e-03 5.025367625057697643e-03 1.598952783844579673e-01 5.270696698086363083e-03 2.027653603561871687e-01
-1.941916532814502716e-02 -1.113909967243671417e-01 3.926021009683609148e-02 1.984104455914348364e-03 1.759452790021896473e-01 1.366850689053535350e-01 3.405661135911941528e-02 3.896935880184173445e-02 5.204863520339131702e-03 5.085815303027629505e-03 1.442523858517288926e-01 3.495597845970920079e-03 1.889922982504502469e-01
-2.066620141267776559e-02 -1.149820387363433838e-01 3.983424454927444319e-02 1.916804315987974319e-03 1.664293408393859863e-01 1.265950962901115362e-01 3.405581675469875058e-02 3.846723511815071384e-02 5.204863427206873720e-03 5.050322366878389965e-03 1.295349453838535725e-01 4.537875612765139219e-03 1.758238698618811435e-01
-8.835944533348082802e-03 -8.413990214467048645e-02 2.724757306277751992e-02 1.841162890195846644e-03 1.578067593276500646e-01 1.305591862648725621e-01 3.405653648078441759e-02 3.808171562850475034e-02 5.204863334074616606e-03 4.999294038861989628e-03 1.181910893925826045e-01 6.036118655887935149e-03 1.533159440014439101e-01
-6.543140113353729422e-03 -6.599327432923018932e-02 2.391788959503173689e-02 1.737474987749010324e-03 1.503225587308406885e-01 1.264046689728274830e-01 3.405628427863120755e-02 3.737494423985480985e-02 5.204863566905260260e-03 5.141334608197212219e-03 9.744633131361504774e-02 1.865410747291776925e-03 1.249671066436875699e-01
-2.879174426198005676e-02 -8.121496438980102539e-02 4.517857059836387357e-02 1.638682745397090868e-03 1.441523812711238972e-01 9.897381030023097437e-02 3.405552357435226440e-02 3.698230534791946411e-02 5.204863380640745163e-03 5.028194701299071485e-03 8.594147046634932618e-02 5.187665928869697463e-03 1.379463897389799909e-01
-2.831543795764446259e-03 -1.425328478217124939e-01 1.869449242949485640e-02 1.586294861044734673e-03 1.390589870512485560e-01 1.203644946217536926e-01 3.405617773532867293e-02 3.627340681850910187e-02 5.204863380640745163e-03 5.214380146935581987e-03 6.510504791074217534e-02 2.794431708842365445e-04 8.566527837216601771e-02
